Kalimat,Label
saya sangat senang dengan produk ini,positif
pelayanan buruk dan lambat,negatif
harga sesuai kualitas,netral
pengiriman cepat dan aman,positif
barang tidak sesuai deskripsi,negatif
pelayanan cukup oke,netral
saya kecewa banget,negatif
produk bagus dan murah,positif
respon penjual cepat,positif
kualitas barang mengecewakan,negatif
pengalaman saya menyenangkan,positif
sangat tidak puas dengan pembelian ini,negatif
barang datang tepat waktu,positif
layanan tidak profesional,negatif
produk biasa saja,netral
respon customer service sangat baik,positif
tidak sesuai harapan,negatif
lumayan bagus untuk harga segini,netral
pengiriman sangat lambat,negatif
kualitas melebihi ekspektasi,positif
barang rusak saat diterima,negatif
pengemasan sangat rapi,positif
tidak terlalu buruk,netral
proses refund mudah dan cepat,positif
customer service tidak membantu,negatif
barang oke lah,netral
pesanan lengkap dan tepat,positif
barang tidak original,negatif
respon lambat dan mengecewakan,negatif
senang akhirnya pesanan sampai,positif
